City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
353,Weston,US,83.01,broken clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
354,Faanui,PF,81.07,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
355,Shenzhen,CN,76.86,overcast clouds,22.5455,114.0683,Grand Skylight
358,Kimbe,PG,88.23,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
361,Nuevo Progreso,MX,85.53,few clouds,23.1667,-97.95,Balneario Rio el Paraiso
362,Riachao,BR,77.67,broken clouds,-7.3619,-46.6172,Pousada Nordestina
363,Najran,SA,75.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
367,Boa Vista,BR,75.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
369,Victoria,HK,76.96,overcast clouds,22.2855,114.1577,Mini Central
370,Blora,ID,76.39,broken clouds,-6.9698,111.4186,Hotel Adhi Jaya
375,Bilma,NE,85.35,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
378,Mehran,IR,85.44,clear sky,33.1222,46.1646,بوتیک زنانه بهار
383,Bedi,IN,83.14,scattered clouds,22.5,70.05,Hotel Aram
388,Ha Tinh,VN,78.93,overcast clouds,18.3333,105.9,Phú Quý
391,Pouebo,NC,81.18,few clouds,-20.4,164.5667,RIVÂT LODGE
396,Sonoita,MX,86.56,clear sky,31.85,-112.8333,Hotel internacional
405,Dhidhdhoo,MV,83.28,overcast clouds,6.8833,73.1,Dhidhoo beach
406,Bathsheba,BB,79.5,overcast clouds,13.2167,-59.5167,Atlantis Hotel
407,Itarema,BR,75.94,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
408,Sao Joao Do Piaui,BR,76.8,broken clouds,-8.3581,-42.2467,Nayra Palace Hotel
409,El Tigre,VE,79.65,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
410,Hambantota,LK,79.0,overcast clouds,6.1241,81.1185,Bungalow 63
411,Koumac,NC,80.89,few clouds,-20.5667,164.2833,Le Monitel
412,Harper,LR,75.61,light rain,4.375,-7.7169,Screensaver
414,Labuhan,ID,79.83,overcast clouds,-6.8844,112.2051,DoubleFAG
415,High Rock,BS,79.38,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
427,Natal,BR,75.43,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
428,Mahibadhoo,MV,83.19,broken clouds,3.7833,72.9667,Omadhoo Inn
437,Kibala,TD,84.94,overcast clouds,9.1104,18.3463,hotel safari
438,Kavaratti,IN,82.78,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
444,Porto Novo,BJ,76.71,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
447,Puerto Colombia,CO,82.49,few clouds,10.9878,-74.9547,Hotel El Emigrante
451,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
458,Osmena,PH,81.12,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
461,Bubaque,GW,78.22,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
464,Waingapu,ID,81.68,few clouds,-9.6567,120.2641,Pondok Wisata Elim
465,Potrerillos,HN,80.67,broken clouds,15.2333,-87.9667,Colonia klavaskin
473,Kulhudhuffushi,MV,83.07,broken clouds,6.6221,73.07,Haajy Guest House 1
476,Tecoanapa,MX,83.34,clear sky,16.5167,-98.75,Hotel Manglares
481,Shangqiu,CN,77.09,clear sky,34.45,115.65,Thank Inn Chain Hotel henan shangqiu railway station ticket shop
485,Trincomalee,LK,80.96,overcast clouds,8.5711,81.2335,Welcombe Hotel
488,Cangzhou,CN,81.3,scattered clouds,38.3167,116.8667,Jinji Express Hotel
493,Alofi,NU,79.9,clear sky,-19.0595,-169.9187,Taloa Heights
496,Ciudad Bolivar,VE,76.19,overcast clouds,8.1222,-63.5497,Hotel Edi
500,Sinnamary,GF,76.91,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
504,Jacareacanga,BR,76.15,clear sky,-6.2222,-57.7528,Casa do Ian😎
505,Whithorn,JM,80.44,overcast clouds,18.2604,-78.0378,Sunset Heal
508,Deori,IN,86.7,broken clouds,21.45,82.6167,बंजारी डीपा
516,Salinas,US,83.21,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
519,Acandi,CO,77.97,few clouds,8.5063,-77.2778,Hotel Patio Bonito
520,Tubuala,PA,81.63,scattered clouds,9.5167,-79.0333,Río Nabagana
522,Mayo,US,75.4,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
531,Kirakira,SB,85.03,scattered clouds,-10.4544,161.9205,SanBiz Lodge
532,Half Moon Bay,US,83.88,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
533,Riohacha,CO,83.34,clear sky,11.5444,-72.9072,Hotel Taroa
538,Salalah,OM,79.81,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
542,Manzanillo,CU,79.79,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
544,Soto La Marina,MX,85.77,scattered clouds,23.7667,-98.2167,Hotel Chicago
545,Washougal,US,75.06,clear sky,45.5826,-122.3534,Camas Boutique Hotel
552,Minbu,MM,83.03,few clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
554,Hala,PK,84.18,clear sky,25.8131,68.4227,أنصاري ديكوريشن إستاف
556,San Policarpo,PH,82.31,broken clouds,12.1791,125.5072,Agapita M. Nicart
557,Banda Aceh,ID,80.78,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
562,Bamora,IN,85.12,scattered clouds,24.0552,78.0909,Golu Hotel
567,Port Blair,IN,83.07,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
