City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Kiruna,SE,2022-05-22 23:48:23,67.8557,20.2251,41.92,81,40,4.61,light rain
119,Airai,TL,2022-05-22 23:52:22,-8.9266,125.4092,66.87,66,45,4.47,scattered clouds
120,Petropavlovsk-Kamchatskiy,RU,2022-05-22 23:52:22,53.0452,158.6483,41.59,100,100,4.47,light intensity shower rain
121,Kjollefjord,NO,2022-05-22 23:52:23,70.9457,27.3465,42.85,86,52,5.46,broken clouds
122,Norman Wells,CA,2022-05-22 23:52:23,65.282,-126.8329,46.44,49,75,4.61,broken clouds
123,Laguna,US,2022-05-22 23:52:23,38.421,-121.4238,92.14,16,0,6.91,clear sky
124,Karabash,RU,2022-05-22 23:52:24,55.4808,60.2157,32.97,96,56,3.96,broken clouds
125,Lata,PT,2022-05-22 23:52:24,40.1629,-8.3327,63.07,90,88,3.56,overcast clouds
126,Avarua,CK,2022-05-22 23:50:13,-21.2078,-159.775,84.25,74,75,10.36,broken clouds
127,Zalesovo,RU,2022-05-22 23:52:25,53.9939,84.7431,52.48,65,56,10.09,broken clouds
128,Jobner,IN,2022-05-22 23:52:25,26.9667,75.3833,87.22,65,0,9.8,clear sky
129,Chokurdakh,RU,2022-05-22 23:52:26,70.6333,147.9167,33.12,100,100,5.68,light snow
130,Baykit,RU,2022-05-22 23:52:26,61.67,96.37,58.57,63,0,1.01,clear sky
131,Hasaki,JP,2022-05-22 23:52:27,35.7333,140.8333,64.29,81,100,12.91,overcast clouds
132,Puerto Leguizamo,CO,2022-05-22 23:52:27,-0.1934,-74.7819,72.72,96,49,1.83,scattered clouds
133,Kamariotissa,GR,2022-05-22 23:52:27,40.4833,25.4667,66.09,82,70,3.13,broken clouds
134,Tautira,PF,2022-05-22 23:52:28,-17.7333,-149.15,79.65,74,22,12.17,light rain
135,Saint-Raphael,HT,2022-05-22 23:52:28,19.4333,-72.2,73.33,89,53,3.31,broken clouds
136,Paderborn,DE,2022-05-22 23:52:28,51.7191,8.7544,57.61,69,0,9.22,clear sky
137,Camacupa,AO,2022-05-22 23:52:29,-12.0167,17.4833,55.13,64,99,3.15,overcast clouds
138,Kodiak,US,2022-05-22 23:53:29,57.79,-152.4072,47.71,81,100,19.57,light rain
139,Puerto Madero,MX,2022-05-22 23:53:30,14.7208,-92.4215,83.41,73,30,2.95,scattered clouds
140,Antalaha,MG,2022-05-22 23:53:30,-14.9003,50.2788,72.14,82,34,6.49,light rain
141,Merauke,ID,2022-05-22 23:53:30,-8.4667,140.3333,83.08,72,22,12.33,few clouds
142,Dikson,RU,2022-05-22 23:53:31,73.5069,80.5464,24.06,89,76,10.47,broken clouds
143,Constitucion,CL,2022-05-22 23:53:31,-35.3333,-72.4167,52.02,92,100,12.68,overcast clouds
144,Ponta Do Sol,PT,2022-05-22 23:53:32,32.6667,-17.1,68.0,78,24,4.14,few clouds
145,Slave Lake,CA,2022-05-22 23:53:32,55.2834,-114.769,60.78,39,0,6.91,clear sky
146,Puerto Ayora,EC,2022-05-22 23:53:32,-0.7393,-90.3518,72.68,86,55,7.76,broken clouds
147,Aliwal North,ZA,2022-05-22 23:53:33,-30.6937,26.7114,47.61,84,17,1.21,few clouds
148,Leca Da Palmeira,PT,2022-05-22 23:53:33,41.191,-8.7003,63.1,93,75,6.91,broken clouds
149,Abu Dhabi,AE,2022-05-22 23:53:33,24.4667,54.3667,82.42,67,0,4.61,clear sky
150,Fortuna,US,2022-05-22 23:53:34,40.5982,-124.1573,59.94,85,100,12.66,overcast clouds
151,Pangnirtung,CA,2022-05-22 23:53:34,66.1451,-65.7125,29.35,98,95,4.45,light snow
152,Tiksi,RU,2022-05-22 23:53:35,71.6872,128.8694,30.45,90,50,4.47,scattered clouds
153,Georgetown,MY,2022-05-22 23:52:42,5.4112,100.3354,80.53,93,20,3.44,few clouds
154,Bealanana,MG,2022-05-22 23:53:35,-14.55,48.7333,59.14,93,82,4.43,broken clouds
155,Uruzgan,AF,2022-05-22 23:53:36,32.8333,66.0,55.2,34,0,6.15,clear sky
156,Saskylakh,RU,2022-05-22 23:53:36,71.9167,114.0833,33.03,93,100,9.22,overcast clouds
157,Beringovskiy,RU,2022-05-22 23:53:36,63.05,179.3167,42.6,73,96,10.8,overcast clouds
158,Lufilufi,WS,2022-05-22 23:53:37,-13.8745,-171.5986,87.58,74,49,17.87,light rain
159,Pilar,BR,2022-05-22 23:53:37,-9.5972,-35.9567,75.13,83,5,4.03,clear sky
160,Srandakan,ID,2022-05-22 23:53:38,-7.9386,110.2506,78.31,83,55,4.59,broken clouds
161,Saldanha,ZA,2022-05-22 23:53:38,-33.0117,17.9442,50.05,89,73,2.64,broken clouds
162,Ancud,CL,2022-05-22 23:53:38,-41.8697,-73.8203,47.79,73,20,16.28,light rain
163,Juigalpa,NI,2022-05-22 23:53:39,12.1063,-85.3645,76.91,88,40,0.0,scattered clouds
164,Narsaq,GL,2022-05-22 23:53:39,60.9167,-46.05,34.41,87,93,6.91,overcast clouds
165,Rawson,AR,2022-05-22 23:53:40,-43.3002,-65.1023,47.59,55,100,16.2,overcast clouds
166,Grand Gaube,MU,2022-05-22 23:53:40,-20.0064,57.6608,75.6,77,3,17.27,clear sky
167,East London,ZA,2022-05-22 23:51:04,-33.0153,27.9116,59.45,83,20,4.79,few clouds
168,Jamestown,US,2022-05-22 23:50:37,42.097,-79.2353,53.24,89,100,6.91,overcast clouds
169,Beloha,MG,2022-05-22 23:53:41,-25.1667,45.05,63.61,94,7,5.23,clear sky
170,Yerbogachen,RU,2022-05-22 23:53:41,61.2767,108.0108,55.13,74,69,3.33,broken clouds
171,Mahebourg,MU,2022-05-22 23:53:41,-20.4081,57.7,75.49,73,40,9.22,scattered clouds
172,At-Bashi,KG,2022-05-22 23:53:42,41.1702,75.8106,39.49,99,100,2.1,overcast clouds
173,Deputatskiy,RU,2022-05-22 23:53:42,69.3,139.9,31.96,95,56,1.86,broken clouds
174,Wajid,SO,2022-05-22 23:53:43,3.8093,43.2471,76.42,70,99,17.56,overcast clouds
175,Coquimbo,CL,2022-05-22 23:53:28,-29.9533,-71.3436,56.93,100,0,4.61,clear sky
176,Santa Cruz,BO,2022-05-22 23:53:43,-17.8,-63.1667,71.65,78,75,9.22,broken clouds
177,Naze,JP,2022-05-22 23:53:43,28.3667,129.4833,70.72,69,100,6.4,overcast clouds
178,Belawan,ID,2022-05-22 23:53:44,3.7755,98.6832,77.29,89,100,2.37,overcast clouds
179,Lehututu,BW,2022-05-22 23:53:44,-23.9667,21.8667,49.68,59,0,4.36,clear sky
180,Fuerte Olimpo,PY,2022-05-22 23:53:45,-21.0415,-57.8738,70.14,40,100,4.9,overcast clouds
181,Namtsy,RU,2022-05-22 23:53:45,62.7161,129.6658,50.29,74,97,3.18,light rain
182,Ferzikovo,RU,2022-05-22 23:53:46,54.5191,36.7567,33.44,89,8,5.12,clear sky
183,Cowra,AU,2022-05-22 23:53:46,-33.8333,148.6833,59.67,64,16,9.93,few clouds
184,Byron Bay,AU,2022-05-22 23:53:46,-28.65,153.6167,60.71,83,84,11.25,light rain
185,Yarmouth,US,2022-05-22 23:53:47,41.7057,-70.2286,68.14,87,0,11.5,clear sky
186,Uryupinsk,RU,2022-05-22 23:54:47,50.8047,42.0138,46.62,95,100,14.0,overcast clouds
187,Magadan,RU,2022-05-22 23:54:47,59.5667,150.8,40.53,95,100,18.81,overcast clouds
188,Kerrobert,CA,2022-05-22 23:54:48,51.9168,-109.1348,59.05,24,73,11.36,broken clouds
189,Lompoc,US,2022-05-22 23:54:48,34.6391,-120.4579,71.74,71,0,20.0,clear sky
190,Richards Bay,ZA,2022-05-22 23:53:56,-28.783,32.0377,62.06,91,100,14.99,moderate rain
191,Ellisras,ZA,2022-05-22 23:54:49,-23.6649,27.7443,48.65,74,10,4.38,clear sky
192,Clyde River,CA,2022-05-22 23:54:50,70.4692,-68.5914,19.63,86,100,23.02,light snow
193,Sosnogorsk,RU,2022-05-22 23:54:50,63.6023,53.8817,31.89,98,100,8.32,snow
194,Pisco,PE,2022-05-22 23:54:50,-13.7,-76.2167,66.02,88,75,8.05,mist
195,Varzob,TJ,2022-05-22 23:54:51,38.7737,68.8178,49.73,82,99,6.26,overcast clouds
196,Guerrero Negro,MX,2022-05-22 23:54:51,27.9769,-114.0611,65.41,62,0,19.08,clear sky
197,Havre-Saint-Pierre,CA,2022-05-22 23:54:52,50.2334,-63.5986,50.36,93,100,14.97,overcast clouds
198,Chuy,UY,2022-05-22 23:53:25,-33.6971,-53.4616,53.22,82,66,5.95,broken clouds
199,Gizo,SB,2022-05-22 23:54:36,-8.103,156.8419,83.52,71,21,5.7,few clouds
200,Shingu,JP,2022-05-22 23:54:52,33.7333,135.9833,74.88,56,1,4.27,clear sky
201,Sijunjung,ID,2022-05-22 23:54:53,-0.6876,100.9537,71.69,85,100,1.39,overcast clouds
202,Baiao,BR,2022-05-22 23:54:53,-2.7906,-49.6717,74.53,88,76,2.51,broken clouds
203,Port Shepstone,ZA,2022-05-22 23:54:53,-30.7414,30.455,61.79,76,86,8.37,overcast clouds
204,Sergach,RU,2022-05-22 23:54:54,55.5308,45.4661,29.53,86,30,5.53,scattered clouds
205,Chitral,PK,2022-05-22 23:54:55,35.8462,71.7858,55.67,59,100,7.36,overcast clouds
206,Souillac,MU,2022-05-22 23:54:55,-20.5167,57.5167,75.58,73,40,9.22,scattered clouds
207,Mehamn,NO,2022-05-22 23:54:55,71.0357,27.8492,39.11,90,89,5.39,overcast clouds
208,Luderitz,NA,2022-05-22 23:54:56,-26.6481,15.1594,59.38,59,16,7.05,few clouds
209,Kungur,RU,2022-05-22 23:54:56,57.4368,56.9593,31.24,91,55,7.02,broken clouds
210,Atasu,KZ,2022-05-22 23:54:56,48.6814,71.6433,45.64,48,0,7.34,clear sky
211,Gayeri,BF,2022-05-22 23:54:57,12.6497,0.4931,79.57,65,100,3.47,moderate rain
212,Vostok,RU,2022-05-22 23:54:57,46.4856,135.8833,58.12,61,70,2.26,broken clouds
213,Monrovia,LR,2022-05-22 23:54:58,6.3005,-10.7969,76.98,88,100,7.78,moderate rain
214,Faya,SA,2022-05-22 23:54:58,18.3851,42.4509,68.11,30,0,1.3,clear sky
215,Salina,US,2022-05-22 23:52:53,38.8403,-97.6114,72.01,31,0,6.91,clear sky
216,San Luis,AR,2022-05-22 23:54:59,-33.295,-66.3356,57.06,43,91,4.85,overcast clouds
217,Bozhou,CN,2022-05-22 23:54:59,33.8772,115.7703,75.72,36,0,4.92,clear sky
218,Aklavik,CA,2022-05-22 23:54:59,68.2191,-135.0107,36.63,55,97,9.75,overcast clouds
219,Sitka,US,2022-05-22 23:54:13,57.0531,-135.33,51.69,71,20,6.91,few clouds
220,Raudeberg,NO,2022-05-22 23:55:00,61.9875,5.1352,53.87,74,100,11.97,light rain
221,Xai-Xai,MZ,2022-05-22 23:55:00,-25.0519,33.6442,63.54,92,100,10.13,overcast clouds
222,Ryotsu,JP,2022-05-22 23:55:01,38.0833,138.4333,59.13,86,97,12.62,light rain
223,San Patricio,US,2022-05-22 23:53:38,28.017,-97.5169,86.72,57,100,10.45,overcast clouds
224,Kampong Thum,KH,2022-05-22 23:55:01,12.7111,104.8887,75.15,95,100,5.1,overcast clouds
225,Nikolsk,RU,2022-05-22 23:55:02,53.7189,46.0712,31.26,95,58,5.57,broken clouds
226,Yagodnoye,RU,2022-05-22 23:55:02,62.55,149.6667,37.74,86,100,3.76,overcast clouds
227,Puerto Carreno,CO,2022-05-22 23:55:02,6.189,-67.4859,78.84,81,99,5.97,moderate rain
228,Grafton,US,2022-05-22 23:55:03,42.207,-71.6856,80.51,93,86,13.04,overcast clouds
229,Vila Velha,BR,2022-05-22 23:52:14,-20.3297,-40.2925,69.75,88,75,4.61,broken clouds
230,Anadyr,RU,2022-05-22 23:55:03,64.75,177.4833,54.1,58,0,8.95,clear sky
231,Leningradskiy,RU,2022-05-22 23:53:58,69.3833,178.4167,37.33,91,96,4.59,overcast clouds
232,Laje,BR,2022-05-22 23:56:04,-10.1833,-40.9667,68.27,68,20,7.85,few clouds
233,Amazar,RU,2022-05-22 23:56:04,53.858,120.875,43.72,95,100,3.36,light rain
234,Ugoofaaru,MV,2022-05-22 23:56:05,5.6667,73.0,83.12,78,61,15.59,broken clouds
235,Port Alfred,ZA,2022-05-22 23:52:38,-33.5906,26.891,59.83,80,61,5.35,broken clouds
236,Esmeraldas,BR,2022-05-22 23:53:55,-19.7625,-44.3139,65.26,63,0,3.33,clear sky
237,Torbay,CA,2022-05-22 23:56:06,47.6666,-52.7314,56.17,64,100,12.66,overcast clouds
238,Arraial Do Cabo,BR,2022-05-22 23:56:06,-22.9661,-42.0278,71.26,71,1,15.32,clear sky
239,Pueblo Bello,CO,2022-05-22 23:56:07,8.2041,-76.526,79.3,95,37,1.54,scattered clouds
240,Oranjemund,NA,2022-05-22 23:56:07,-28.55,16.4333,56.86,70,13,4.45,few clouds
241,Cherskiy,RU,2022-05-22 23:56:07,68.75,161.3,56.75,37,94,17.87,overcast clouds
242,Tuatapere,NZ,2022-05-22 23:56:08,-46.1333,167.6833,50.83,71,55,10.27,broken clouds
243,Ha Giang,VN,2022-05-22 23:52:51,22.8333,104.9833,71.51,99,100,2.86,overcast clouds
244,Ossora,RU,2022-05-22 23:56:08,59.2353,163.0719,40.68,84,50,2.26,scattered clouds
245,Amapa,BR,2022-05-22 23:56:09,1.0,-52.0,71.53,98,82,1.7,broken clouds
246,Usta Muhammad,PK,2022-05-22 23:56:09,28.1794,68.0445,91.31,8,0,7.65,clear sky
247,Chapais,CA,2022-05-22 23:56:10,49.7834,-74.8492,37.18,88,99,7.0,overcast clouds
248,Provideniya,RU,2022-05-22 23:56:10,64.3833,-173.3,51.91,58,0,15.99,clear sky
249,Seinajoki,FI,2022-05-22 23:52:32,62.7945,22.8282,37.98,81,0,2.3,clear sky
250,Araguacu,BR,2022-05-22 23:56:11,-12.9306,-49.8264,69.75,47,1,4.03,clear sky
251,Ust-Tsilma,RU,2022-05-22 23:56:12,65.441,52.1498,30.18,95,100,14.38,snow
252,Mingguang,CN,2022-05-22 23:56:12,32.7802,117.9638,74.62,57,40,7.94,scattered clouds
253,Urumqi,CN,2022-05-22 23:56:13,43.801,87.6005,68.95,43,0,8.95,clear sky
254,Westport,US,2022-05-22 23:56:13,41.1415,-73.3579,81.28,63,38,8.77,scattered clouds
255,Lagoa,PT,2022-05-22 23:56:14,39.05,-27.9833,61.41,93,100,11.92,light rain
256,Shubarshi,KZ,2022-05-22 23:56:14,48.5872,57.1869,56.61,68,99,15.39,overcast clouds
257,Nanortalik,GL,2022-05-22 23:56:14,60.1432,-45.2371,35.17,92,93,8.93,overcast clouds
258,Turayf,SA,2022-05-22 23:56:15,31.6725,38.6637,61.05,48,0,11.5,clear sky
259,Amahai,ID,2022-05-22 23:56:15,-3.3333,128.9167,81.93,78,99,2.57,overcast clouds
260,Governador Valadares,BR,2022-05-22 23:56:16,-18.8511,-41.9494,64.11,68,0,3.04,clear sky
